@type,@id,@lat,@lon,name,name:hu,alt_name,alt_name:hu,old_name,old_name:hu,url:miserend
node,2273891045,46.0639056,23.5797661,Biserica Franciscană (1824),Szent Sebestyén - Jézus Szent Szíve-templom,,,,,https://miserend.hu/templom/3059
node,2341691598,47.2019394,24.0591707,Biserica Catolică,Szent István király templom,,,,,https://miserend.hu/templom/3414
node,2353796779,47.1809257,24.1817288,Biserica Catolică,,,,,,https://miserend.hu/templom/3413
node,2374555901,47.1528045,21.9202140,Catholic Church,Nagyboldogasszony templom,,,,,https://miserend.hu/templom/4736
node,2401874600,45.4428194,23.3747241,Catholic Church,Szent Borbála templom,,,,,https://miserend.hu/templom/3125
node,2408243163,46.9803186,17.2823175,Sarlós Boldogasszony templom,,Ferences Kegytemplom,,,,http://miserend.hu/?templom=2345
node,2420116818,47.4738734,19.0427725,Szentlélek kápolnaigazgatóság,,Ulászló utcai Szentlélek kápolnaigazgatóság,,,,http://miserend.hu/?templom=2579
node,2438012764,45.8423251,24.9774829,Biserica și mănăstirea franciscană,Szentháromság-templom,,,,,https://miserend.hu/templom/3136
node,2518790510,46.0473716,26.1377926,Biserica Fortificată,Szentlélek templom,,,,,https://miserend.hu/templom/3371
node,2788145694,46.8452131,24.1618567,Biserica Catolică Preasfânta Treime,Szentháromság templom,,,,,https://miserend.hu/templom/3389
node,2807632871,47.4557849,16.7779239,Szent Kereszt megtalálása-templom,,keresztényi templom,,,,http://miserend.hu/?templom=5097
node,2884647002,48.1578199,21.6459196,Szent Lajos-templom,,,,,,http://miserend.hu/?templom=3205
node,2906606145,46.5744378,20.9572916,Iskolakápolna,,,,,,http://miserend.hu/templom/4207
node,2923484677,47.2787473,16.5784270,Fájdalmas Szűz-kápolna,,Szentkút-kápolna,,,,http://miserend.hu/?templom=1475
node,2963905146,46.2892825,18.6043641,Nagyboldogasszony-templom,,,,,,http://miserend.hu/?templom=2811
node,2981641513,46.0195808,26.2891969,Biserica Romano-Catolică,Szent Anna templom,,,,,https://miserend.hu/templom/3367
node,2981648022,46.0232845,26.2207474,Biserica romano-catolică,Szent László király templom,,,,,https://miserend.hu/templom/3377
node,2985736117,45.9860510,26.2613989,Biserica Romano-Catolică Sfânta Fecioară Maria,Szent Mária Magdolna-templom,,,,,https://miserend.hu/templom/3379
node,3016944407,46.1700841,18.7003830,Szent Orbán-kápolna,,,,,,http://miserend.hu/?templom=5069
node,3198412834,47.9512361,21.7046837,Szent Antal-templom,,,,,,http://miserend.hu/?templom=844
node,3253318949,46.8787692,16.9139094,Szent István király-templom,,,,,,https://miserend.hu/templom/2694
node,3271434058,46.8015952,25.4988938,Szent Katalin római katolikus templom,,,,,,https://miserend.hu/templom/5395
node,3295493317,47.0467958,16.7884436,Rózsafüzér Királynője-kápolna,,Szentkúti kápolna,,,,http://miserend.hu/?templom=2863
node,3324623982,46.5792920,16.6333550,Háromszenteki kápolna,,,,,,http://miserend.hu/?templom=5083
node,3377136698,46.8506020,16.6608660,Szent János apostol-templom,,,,,,http://miserend.hu/?templom=3213
node,3380217861,47.2650773,17.5123905,Kármelhegyi Boldogasszony-templom,,Attyapusztai templom,,,,http://miserend.hu/?templom=672
node,3383419389,46.7814256,16.6785966,Kisboldogasszony iskolakápolna,,,,,,http://miserend.hu/?templom=2710
node,3384089618,46.2680956,18.3994362,Rózsafüzér királynője-templom,,,,,,http://miserend.hu/?templom=5252
node,3384317608,45.9069683,18.4708210,Alexandriai Szent Katalin templom,,,,,,http://miserend.hu/?templom=3665
node,3384317622,45.9495614,18.7068244,Iskolakápolna,,,,,,http://miserend.hu/?templom=4698
node,3385666835,46.1158161,18.3732434,Szent István király-templom,,,,,,http://miserend.hu/?templom=5253
node,3391107754,46.1698831,17.7569283,Szent Vendel-kápolna,,,,,,http://miserend.hu/?templom=4351
node,3392239687,47.9134294,19.6170028,Szeplőtelen fogantatás-kápolna,,,,,,https://miserend.hu/templom/4430
node,3400753609,47.8443888,20.4125388,Szent András apostol-kápolna,,andornaki iskolakápolna,,,,http://miserend.hu/?templom=3218
node,3414916376,46.2747178,18.6376525,Szent József-templom,,,,,,http://miserend.hu/?templom=2810
node,3437149530,48.1098154,20.5318608,Kelemen Didák-kápolna,,,,,,https://miserend.hu/templom/3492
node,3437150076,48.1048412,20.7783276,Szűz Mária anyasága-kápolna,,Zárdakápolna,,,,http://miserend.hu/?templom=3498
node,3437755241,47.9822620,20.6698240,Sarlós Boldogasszony-kápolna,,mocsolyási kápolna,,,,http://miserend.hu/?templom=4158
node,3438328492,46.3247400,18.0633160,Szent István király-templom,,,,,,http://miserend.hu/?templom=5303
node,3438329915,46.3289670,17.6757000,Angyalos Boldogasszony-kápolna,,Porcinkula kápolna,,,,http://miserend.hu/?templom=5089
node,3438329926,46.4789943,17.9609358,Szent Erzsébet-iskolakápolna,,,,,,http://miserend.hu/?templom=4456
node,3438330499,46.3333050,17.9996370,Szent Miklós kápolna,,,,,,http://miserend.hu/?templom=5320
node,3439644701,47.5570980,16.9787557,Szent Imre-kápolna,,Csermajori kápolna,,,,http://miserend.hu/?templom=5238
