id,nev,ismertnev,orszag,megye,varos,cim,osmid,osmtype,lat,lon
4216,Szent István király-templom,,12,19,Sümegprága,Fő u.,176624053,way,46.9395154,17.2732503
4217,Krisztus Király iskolakápolna,,12,20,Döbröce,Hegyi u. 6.,378698146,way,46.9356642,17.1870226
4218,Antiochiai Szent Margit-templom,,12,20,Nagygörbő,Petőfi utca 48.,375603181,way,46.9303149,17.1793648
4219,Szent Kereszt kórházkápolna,Szeged II. Kórház kápolnája ,12,6,Szeged,Kálvária stg.,8543247138,node,46.2537636,20.1267566
4220,Szűz Mária Szent Neve templom,,12,15,Csoma,,375603231,way,46.3690519,18.0448356
4221,Szent Péter és Pál templom,,12,17,Kapospula,Szabadság tér,5573695,relation,46.3750525,18.091977
4222,Magyarok Nagyasszonya templom,,12,15,Szabadi,,375603187,way,46.3635656,18.0365035
4223,Nagyboldogasszony kápolna,Alsóhetényi kápolna,12,17,Kapospula,Alsóhetény,375603192,way,46.4264369,18.081762
4224,Szent Márton püspök-templom,,12,15,Vörs,Ady. E,374940853,way,46.6648121,17.2688669
4225,Szent Márton püspök-templom,,12,15,Fonó,Petőfi utca 46.,375603219,way,46.394899,17.9555858
4226,Szent Kereszt felmagasztalása-templom,,12,15,Kisgyalán,Fő tér,375603215,way,46.4235227,17.9762075
4227,Magyarok Nagyasszonya-templom,,12,15,Csombárd,Kossuth u.,375603189,way,46.4533384,17.6706022
4228,Szent Imre-kápolna,,12,15,Mezőcsokonya,Ady Endre u. 4.,375603210,way,46.4307418,17.6400667
4229,Páduai Szent Antal-templom,,12,15,Juta,,302862152,way,46.4053974,17.7351892
4230,Szent László király-templom,,12,15,Várda,,375603218,way,46.4582001,17.7393643
4231,Szent István király-kápolna,Balatonszabadi - Sóstói kápolna,12,15,Siófok,Szabadi-Sóstó,363325017,way,46.9359616,18.1216813
4232,Szűz Mária Istenanyasága-kápolna,Balatonszabadi-Siómarosi kápolna,12,15,Balatonszabadi,"Siómaros, Kossuth u.",375603230,way,46.8850608,18.1490998
4233,Szentháromság-templom,Ádándi templom,12,15,Ádánd,,375603224,way,46.8566987,18.1553479
4234,Szent Pál-templom,Rákoskeresztúr-Madárdomb Szent Pál-templom,12,5,Budapest XVII. kerület,Lázár deák u.,192078785,way,47.4791689,19.2304334
4236,Szent Bertalan apostol-templom,,12,8,Maglóca,Petőfi u. 26.,375603205,way,47.6648541,17.2766729
4237,Szent Benedek-templom,,12,15,Bárdudvarnok,Kaposszentbenedek u.,375603204,way,46.32973,17.6963696
